               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1372,            0.013609,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00119,             0.00119,             0.08929
                   1,             0.10991,            0.014667,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0023768,           0.0023768,            0.078477
                   2,            0.080526,            0.016302,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0035109,           0.0035109,            0.067611
                   3,            0.075479,             0.01371,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0045551,           0.0045551,            0.056655
                   4,            0.074093,            0.011846,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0054752,           0.0054752,            0.045575
                   5,            0.071877,            0.010787,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062423,           0.0062423,            0.034342
                   6,            0.075542,           0.0095463,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0068337,           0.0068337,            0.022934
                   7,            0.073433,           0.0094442,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072337,           0.0072337,            0.011334
                   8,            0.071372,           0.0092837,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0068906,           0.0068906,           0.0068906
                   9,            0.070396,           0.0089874,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0068906,           0.0068906,           0.0068906
                  10,            0.062974,           0.0087464,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006204,            0.006204,            0.006204
                  11,            0.066112,            0.008878,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0055,              0.0055,              0.0055
                  12,             0.06106,           0.0086763,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004796,            0.004796,            0.004796
                  13,            0.057673,           0.0081244,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0041094,           0.0041094,           0.0041094
                  14,             0.05652,           0.0077374,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.003457,            0.003457,            0.003457
                  15,            0.054695,           0.0078961,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002855,            0.002855,            0.002855
                  16,            0.051788,           0.0073089,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.002318,            0.002318,            0.002318
                  17,            0.050316,            0.007379,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0018594,           0.0018594,           0.0018594
                  18,            0.050035,            0.007047,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0014905,           0.0014905,           0.0014905
                  19,            0.046386,            0.006931,                   0,             0.86194,             0.86806,             0.88134,             0.40531,            0.042543,           0.0050625,                   0,           0.0012202,           0.0012202,           0.0012202
